Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FinalSuite,,,,2023-11-03 12:45:28,2023-11-03 12:45:31,3.103s,FAILED
,,,,,,,
Test Cases/Login,,,,2023-11-03 12:45:28,2023-11-03 12:45:31,2.898s,FAILED
"println(""login test case"")",,,,2023-11-03 12:45:28,2023-11-03 12:45:28,0.004s,PASSED
"openBrowser(""https://www.facebook.com"")",,,,2023-11-03 12:45:28,2023-11-03 12:45:31,2.416s,PASSED
waitForPageLoad(10),,,,2023-11-03 12:45:31,2023-11-03 12:45:31,0.229s,FAILED
,,,,,,,
Test Cases/Log out,,,,2023-11-03 12:45:31,2023-11-03 12:45:31,0.066s,PASSED
"println(""Log out test case"")",,,,2023-11-03 12:45:31,2023-11-03 12:45:31,0.002s,PASSED
"println(""Log out test case"")",,,,2023-11-03 12:45:31,2023-11-03 12:45:31,0.000s,PASSED
